Index,X_Coordinate,Y_Coordinate,Phase_Error
170,3.9255,6.8298,0.007332205302
171,3.9255,6.8511,0.007332205302
172,3.9362,6.8511,0.01316036849
173,3.9362,6.883,0.01316036849
174,3.9468,6.883,0.009588268472
175,3.9468,6.9043,0.009588268472
176,3.9574,6.9043,0.006016168453
177,3.9574,6.9255,0.006016168453
178,3.9681,6.9255,0.01184433164
179,3.9681,6.9362,0.01184433164
180,3.9787,6.9362,0.008272231622
181,3.9787,6.9574,0.008272231622
182,3.9894,6.9574,0.01410039481
183,3.9894,6.9787,0.01410039481
184,4,6.9787,0.01052829479
185,4,6.9894,0.01052829479
186,4.0106,6.9894,0.006956194773
187,4.0106,7.0106,0.006956194773
188,4.0213,7.0106,0.01278435796
189,4.0213,7.0426,0.01278435796
190,4.0319,7.0426,0.009212257943
191,4.0319,7.0638,0.009212257943
192,4.0426,7.0638,0.01504042113
193,4.0426,7.0745,0.01504042113
194,4.0532,7.0745,0.01146832111
195,4.0532,7.0957,0.01146832111
196,4.0638,7.0957,0.007896221094
197,4.0638,7.117,0.007896221094
198,4.0745,7.117,0.01372438428
199,4.0745,7.1383,0.01372438428
200,4.0851,7.1383,0.01015228426
201,4.0851,7.1596,0.01015228426
202,4.0957,7.1596,0.006580184245
203,4.0957,7.1809,0.006580184245
204,4.1064,7.1809,0.01240834743
205,4.1064,7.2021,0.01240834743
206,4.117,7.2021,0.008836247415
207,4.117,7.2234,0.008836247415
208,4.1277,7.2234,0.0146644106
209,4.1277,7.2447,0.0146644106
210,4.1383,7.2447,0.01109231058
211,4.1383,7.266,0.01109231058
212,4.1489,7.266,0.007520210566
213,4.1489,7.2766,0.007520210566
214,4.1596,7.2766,0.01334837375
215,4.1596,7.2979,0.01334837375
216,4.1702,7.2979,0.009776273736
217,4.1702,7.3085,0.009776273736
218,4.1809,7.3085,0.01560443692
219,4.1809,7.3298,0.01560443692
220,4.1915,7.3298,0.01203233691
221,4.1915,7.3404,0.01203233691
222,4.2021,7.3404,0.008460236887
223,4.2021,7.3617,0.008460236887
224,4.2128,7.3617,0.01428840008
225,4.2128,7.383,0.01428840008
226,4.2234,7.383,0.01071630006
227,4.2234,7.4043,0.01071630006
228,4.234,7.4043,0.007144200038
229,4.234,7.4255,0.007144200038
230,4.2447,7.4255,0.01297236323
231,4.2447,7.4468,0.01297236323
232,4.2553,7.4468,0.009400263207
233,4.2553,7.4681,0.009400263207
234,4.266,7.4681,0.0152284264
235,4.266,7.4894,0.0152284264
236,4.2766,7.4894,0.01165632638
237,4.2766,7.5106,0.01165632638
238,4.2872,7.5106,0.008084226358
239,4.2872,7.5319,0.008084226358
240,4.2979,7.5319,0.01391238955
241,4.2979,7.5426,0.01391238955
242,4.3085,7.5426,0.01034028953
243,4.3085,7.5638,0.01034028953
244,4.3191,7.5638,0.006768189509
245,4.3191,7.5851,0.006768189509
246,4.3298,7.5851,0.0125963527
247,4.3298,7.6064,0.0125963527
248,4.3404,7.6064,0.009024252679
249,4.3404,7.617,0.009024252679
250,4.3511,7.617,0.01485241587
251,4.3511,7.6489,0.01485241587
252,4.3617,7.6489,0.01128031585
253,4.3617,7.6702,0.01128031585
254,4.3723,7.6702,0.00770821583
255,4.3723,7.6915,0.00770821583
256,4.383,7.6915,0.01353637902
257,4.383,7.7128,0.01353637902
258,4.3936,7.7128,0.009964279
259,4.3936,7.734,0.009964279
260,4.4043,7.734,0.01579244219
261,4.4043,7.7553,0.01579244219
262,4.4149,7.7553,0.01222034217
263,4.4149,7.7766,0.01222034217
264,4.4255,7.7766,0.008648242151
265,4.4255,7.7872,0.008648242151
266,4.4362,7.7872,0.01447640534
267,4.4362,7.8085,0.01447640534
268,4.4468,7.8085,0.01090430532
269,4.4468,7.8191,0.01090430532
270,4.4574,7.8191,0.007332205302
271,4.4574,7.8298,0.007332205302
272,4.4681,7.8298,0.01316036849
273,4.4681,7.8511,0.01316036849
274,4.4787,7.8511,0.009588268472
275,4.4787,7.8723,0.009588268472
276,4.4894,7.8723,0.01541643166
277,4.4894,7.8936,0.01541643166
278,4.5,7.8936,0.01184433164
279,4.5,7.9149,0.01184433164
280,4.5106,7.9149,0.008272231623
281,4.5106,7.9362,0.008272231623
282,4.5213,7.9362,0.01410039481
283,4.5213,7.9574,0.01410039481
284,4.5319,7.9574,0.01052829479
285,4.5319,7.9681,0.01052829479
286,4.5426,7.9681,0.01635645798
287,4.5426,8,0.01635645798
288,4.5532,8,0.01278435796
289,4.5532,8.0213,0.01278435796
290,4.5638,8.0213,0.009212257943
291,4.5638,8.0426,0.009212257943
292,4.5745,8.0426,0.01504042113
293,4.5745,8.0745,0.01504042113
294,4.5851,8.0745,0.01146832111
295,4.5851,8.0957,0.01146832111
296,4.5957,8.0957,0.007896221094
297,4.5957,8.117,0.007896221094
298,4.6064,8.117,0.01372438428
299,4.6064,8.1383,0.01372438428
300,4.617,8.1383,0.01015228426
301,4.617,8.1596,0.01015228426
302,4.6277,8.1596,0.01598044745
303,4.6277,8.1809,0.01598044745
304,4.6383,8.1809,0.01240834743
305,4.6383,8.2021,0.01240834743
306,4.6489,8.2021,0.008836247415
307,4.6489,8.2234,0.008836247415
308,4.6596,8.2234,0.0146644106
309,4.6596,8.234,0.0146644106
310,4.6702,8.234,0.01109231058
311,4.6702,8.2447,0.01109231058
312,4.6809,8.2447,0.01692047377
313,4.6809,8.266,0.01692047377
314,4.6915,8.266,0.01334837375
315,4.6915,8.2872,0.01334837375
